Var1,Var2,value
bio5,bio9,0.804423284414548
bio11,bio9,0.7868951186635378
bio11,bio5,0.8900737179200856
bio6,bio9,0.7577602676446166
bio6,bio5,0.8347273376441817
bio6,bio11,0.9932020992077751
bio1,bio9,0.7957996816702743
bio1,bio5,0.9366271218931622
bio1,bio11,0.9917016976159082
bio1,bio6,0.9736459127412196
bio10,bio9,0.8125593585557992
bio10,bio5,0.9720882315748909
bio10,bio11,0.9672681678840727
bio10,bio6,0.9367586692657132
bio10,bio1,0.9910415300927927
bio12,bio19,0.9269863131384293
bio13,bio19,0.9488990644182556
bio13,bio12,0.9924923132753624
bio16,bio19,0.9527997944155414
bio16,bio12,0.9922873118352861
bio16,bio13,0.999053014320168
bio18,bio19,0.8453520597773766
bio18,bio12,0.978941716366567
bio18,bio13,0.9609295796086668
bio18,bio16,0.9575710460359911
bio14,bio19,0.8942461485231441
bio14,bio12,0.9909216132615212
bio14,bio13,0.9755414701523201
bio14,bio16,0.9742781648024479
bio14,bio18,0.986879110914767
bio17,bio19,0.8939911764572299
bio17,bio12,0.9921150397687546
bio17,bio13,0.9758882274906129
bio17,bio16,0.9755772808925912
bio17,bio18,0.9838595200429003
bio17,bio14,0.9974118191735999
bio2,bio3,0.9186390245175059
bio2,bio4,0.8986993687575441
bio7,bio3,0.8312468694846336
bio7,bio4,0.9628225951014173
bio7,bio2,0.9802945538014798
