genus,species,id,locality,nz_id,latitude,longitude,qual,day,month,year,collector,notes,elevation,code,misc
acanthoxyla,sp,acan-sp_1,"Waitouhue Rd, en route to Takahue",NZAC03005425,-35.267483,173.294733,g,8,Dec,2008,T R Buckley R Leschen D Seldon,beating totara,,AXX124,
acanthoxyla,sp,acan-sp_2,"Waipoua Forest, hill south of DoC Forest HQ",NZAC03000695,-35.65655,173.563267,g,5,Feb,2006,T R Buckley R Hoare,Gahnia sp. below totara tree,,AXX76,
acanthoxyla,sp,acan-sp_3,Trounson Kauri Park,NZAC03005521,-35.720467,173.649333,g,4,Feb,2006,T R Buckley R Hoare,totara,,AXX60,
acanthoxyla,sp,acan-sp_4,Paihia,NZAC04030840,-35.288017,174.09175,g,5,Jan,1973,W E Barnard,,,,
acanthoxyla,sp,acan-sp_5,"Dargaville, Memorial Park",NZAC03000727,-35.922667,173.854383,g,5,Feb,2006,T R Buckley,totara,,AXX65,
acanthoxyla,sp,acan-sp_6,"Dome Forest Walkway, north of Warkworth",NZAC03000694,-36.360867,174.61335,g,14,Nov,2005,T R Buckley D Seldon,,,AXX72,
acanthoxyla,sp,acan-sp_7,Dome Valley Walkway,NZAC03000673,-36.361717,174.6132,g,14,Nov,2005,T R Buckley D Seldon,ex rimu/totara,,AXX44,
acanthoxyla,sp,acan-sp_8,"Albany, Lucas Creek",NZAC03000717,-36.72345,174.691967,g,2,May,2004,K Green,,,AXX23,
acanthoxyla,sp,acan-sp_9,Huia,NZAC04030823,-37.003433,174.563083,g,26,June,1939,Dr Chamberlain,,,,
acanthoxyla,sp,acan-sp_10,"Auckland, Tamaki, Don Merton Rd",NZAC03000696,-36.881,174.853017,g,18,July,2005,T R Buckley,,,,
acanthoxyla,sp,acan-sp_11,Tamaki campus,NZAC03005389,-36.888217,174.849567,g,13,Nov,2008,R Hoare,,,,
acanthoxyla,sp,acan-sp_12,"Mt Albert Research Centre, Mt Albert",NZAC03005516,-36.8904,174.725967,g,,Feb,2006,N A Martin,,,AXX110,
acanthoxyla,sp,acan-sp_13,"Henderson, Sunnyvale",NZAC04030859,-36.903967,174.64045,g,23,May,1961,Vicky Wise,,,,
acanthoxyla,sp,acan-sp_14,"Auckland, Oratia Forest",NZAC03000636,-36.9223,174.593867,g,22,Feb,2005,D Ward,ex pit trap,,,
acanthoxyla,sp,acan-sp_15,"Auckland, St Heliers Bay",NZAC04030807,-36.848967,174.861517,g,28,Apr,1954,Mrs Ruffhead,,,,
acanthoxyla,sp,acan-sp_16,"Auckland, Parau Trk, Lower Nihotupu Reservoir",NZAC03004824,-36.9649,174.613833,g,20,Feb,2005,T R Buckley,rimu,,AXX25,
acanthoxyla,sp,acan-sp_17,"Murphys Bush, Manurewa",NZAC03006293,-36.980217,174.919633,g,12,May ,2004,R Hoare,,,,
acanthoxyla,sp,acan-sp_18,"Botanic Gardens, Manurewa",NZAC03005577,-37.009933,174.906483,g,20,Aug,2009,N A Martin,,,AXX114,
