genus,species,id,latitude,longitude,locality,reproductive_mode,inaturalist
acanthoxyla,sp,acan-sp_1,-35.267483,173.294733,"Waitouhue Rd, en route to Takahue",asexual,no
acanthoxyla,sp,acan-sp_2,-35.65655,173.563267,"Waipoua Forest, hill south of DoC Forest HQ",asexual,no
acanthoxyla,sp,acan-sp_3,-35.720467,173.649333,Trounson Kauri Park,asexual,no
acanthoxyla,sp,acan-sp_4,-35.288017,174.09175,Paihia,asexual,no
acanthoxyla,sp,acan-sp_5,-35.922667,173.854383,"Dargaville, Memorial Park",asexual,no
acanthoxyla,sp,acan-sp_6,-36.360867,174.61335,"Dome Forest Walkway, north of Warkworth",asexual,no
acanthoxyla,sp,acan-sp_7,-36.361717,174.6132,Dome Valley Walkway,asexual,no
acanthoxyla,sp,acan-sp_8,-36.72345,174.691967,"Albany, Lucas Creek",asexual,no
acanthoxyla,sp,acan-sp_9,-37.003433,174.563083,Huia,asexual,no
acanthoxyla,sp,acan-sp_10,-36.881,174.853017,"Auckland, Tamaki, Don Merton Rd",asexual,no
acanthoxyla,sp,acan-sp_11,-36.888217,174.849567,Tamaki campus,asexual,no
acanthoxyla,sp,acan-sp_12,-36.8904,174.725967,"Mt Albert Research Centre, Mt Albert",asexual,no
acanthoxyla,sp,acan-sp_13,-36.903967,174.64045,"Henderson, Sunnyvale",asexual,no
acanthoxyla,sp,acan-sp_14,-36.9223,174.593867,"Auckland, Oratia Forest",asexual,no
acanthoxyla,sp,acan-sp_15,-36.848967,174.861517,"Auckland, St Heliers Bay",asexual,no
acanthoxyla,sp,acan-sp_16,-36.9649,174.613833,"Auckland, Parau Trk, Lower Nihotupu Reservoir",asexual,no
acanthoxyla,sp,acan-sp_17,-36.980217,174.919633,"Murphys Bush, Manurewa",asexual,no
acanthoxyla,sp,acan-sp_18,-37.009933,174.906483,"Botanic Gardens, Manurewa",asexual,no
acanthoxyla,sp,acan-sp_19,-36.215667,175.057933,"Little Barrier I, Flats",asexual,no
acanthoxyla,sp,acan-sp_20,-36.2252,175.078733,"Little Barrier I, Awaroa Stm",asexual,no
acanthoxyla,sp,acan-sp_21,-36.3,175.533333,"Great Barrier I, Little Windy Hill",asexual,no
acanthoxyla,sp,acan-sp_22,-36.166767,175.29935,Nelson I. (Great Barrier I),asexual,no
acanthoxyla,sp,acan-sp_23,-37.143133,175.65905,"Coromandel, Kopu-Hikuai Rd, SH25A",asexual,no
